Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,Broad Category,Continent,Other,Military and Conflict,Political Events,Technological and Scientific Advancements,Crisis and Emergency Response,Economic and Infrastructure Development,Social and Cultural Events,Environmental and Health,Legal and Judicial Changes,International Relations and Diplomacy,Historical and Monumental,Social and Civil Rights
533,Signing of the AngloUnknownDutch Treaty,17,March,1824,Singapore,Diplomatic Agreement,London,Formalized British control over Singapore and Dutch control over the Indonesian archipelago.,British and Dutch empires,United Kingdom and Netherlands,Positive,International Relations and Diplomacy,Asia,0.13749218,0.13945438,0.13255666,0.05492376,0.015906852,0.0722105,0.09192309,0.018164039,0.067570955,0.19810179,0.071671754,2.4023084e-05
534,Surrender of Singapore to Japan,15,February,1942,Singapore,Military Surrender,Singapore,"Marked the beginning of the Japanese occupation, leading to widespread suffering.","Allied forces, Singaporean citizens",Japanese Empire,Negative,Political Events,Asia,0.12803005,0.1346062,0.09769914,0.08176939,0.068650074,0.049130954,0.09786015,0.065233834,0.018258309,0.17731129,0.079116285,0.0023343586
535,Singapore Joins the United Nations,21,September,1965,Singapore,International Relations,Unknown,Affirmed Singapore's sovereignty and global standing following independence.,Singaporean citizens,Unknown,Positive,International Relations and Diplomacy,Asia,0.09936327,0.10060209,0.094815105,0.050152797,0.0007553587,0.02240279,0.07118748,0.001298454,0.047404815,0.4492408,0.055735074,0.007041956
536,Laju Ferry Hijacking,31,January,1974,Singapore,Terrorism,Singapore,A pivotal event that highlighted Singapore's vulnerability to international terrorism.,Singaporean citizens,"Japanese Red Army, Popular Front for the Liberation of Palestine",Negative,Crisis and Emergency Response,Asia,0.11075629,0.088389665,0.055544853,0.18719961,0.24665143,0.029985486,0.056565996,0.06406205,0.013274627,0.08385267,0.062437356,0.0012800123
537,Cable Car Disaster,29,January,1983,Singapore,Accident,Sentosa,"The cable car line between Mount Faber and Sentosa was severed, resulting in deaths and highlighting the need for stringent safety measures.",Tourists and locals,Unknown,Negative,Crisis and Emergency Response,Asia,0.012787785,0.06634226,0.0066844206,0.11147242,0.39160842,0.031694405,0.025594203,0.32533115,0.0003787772,0.02652128,0.0011558566,0.00042902277
538,Hotel New World Collapse,15,March,1986,Singapore,Structural Failure,Singapore,"The collapse of the Hotel New World due to structural failure marked one of the worst disasters in Singapore, leading to improvements in building safety regulations.",Victims and their families,Unknown,Negative,Crisis and Emergency Response,Asia,0.046210762,0.044592615,0.046384975,0.1484253,0.1972102,0.07651638,0.08323184,0.26807046,0.0020387794,0.04550759,0.03993586,0.0018752118
539,Execution of Barlow and Chambers,7,July,1986,Singapore,Judicial Execution,Singapore,The execution of two Australians for drug trafficking underscored Singapore's strict antiUnknowndrug laws.,Australian nationals,Singapore Government,Mixed,Political Events,Asia,0.1855511,0.08345029,0.10952219,0.030040897,0.13274682,0.046327773,0.066501364,0.017089725,0.21378565,0.043490946,0.055828165,0.01566502
540,AngloUnknownPersian Oil Company Agreement,Unknown,Unknown,1901,Iran,Economic Development,Iran,"Discovery and development of oil, fundamentally changing Iran's economy and strategic importance.",Iranian people,William Knox D'Arcy,Mixed,Economic and Infrastructure Development,Asia,0.08868622,0.083206855,0.11835648,0.07124369,0.002823929,0.24517138,0.112898104,0.032876734,0.009815921,0.13134946,0.061431736,0.042139426
541,British Mandate of Mesopotamia,Unknown,Unknown,1920,Iraq,Colonial Rule,Mesopotamia,"Establishment of British control postUnknownOttoman Empire, setting the stage for modern Iraqi statehood.",Mesopotamian people,League of Nations,Negative,Political Events,Asia,0.1461185,0.15212235,0.19673078,0.053553108,0.03165152,0.06790103,0.13567881,0.016225642,0.04267369,0.07876313,0.0739422,0.004639143
542,Alash Autonomy Declaration,Unknown,Unknown,1917,Almaty,Political Movement,Kazakhstan,"Attempt to establish autonomy amidst the Russian Revolution, highlighting national consciousness.",Kazakh intellectuals,Alash Orda,Mixed,Political Events,Unknown,0.14067085,0.12473779,0.22765613,0.024000548,0.01339786,0.06877752,0.15999083,0.012914676,0.06632647,0.05107195,0.08707194,0.023383336
543,Bukhara Emirate Overthrown by Bolsheviks,Unknown,Unknown,1920,Bukhara,Political Change,Bukhara,"Introduction of Soviet rule, significant social and political transformations.",Uzbek people,Bolsheviks,Negative,Political Events,Unknown,0.10415804,0.15015745,0.23305021,0.021113195,0.034458812,0.1050079,0.13347745,0.029433563,0.029614154,0.04351648,0.09944096,0.016571805
544,Treaty of Punakha,Unknown,Unknown,1910,Bhutan,Diplomatic Agreement,Punakha,British India's recognition of Bhutan's independence in exchange for control over foreign relations.,Bhutanese people,"British India, Bhutan",Mixed,International Relations and Diplomacy,Unknown,0.1558201,0.12658833,0.13732436,0.057085674,0.014699316,0.042432122,0.09965315,0.012856914,0.077182606,0.17441747,0.10182689,0.00011302945
545,Introduction of Islam officially,Unknown,Unknown,1153,Maldives,Religious Conversion,Maldives,"Conversion to Islam, shaping Maldivian culture, governance, and judicial system.",Maldivian inhabitants,Abu alUnknownBarakat Yusuf alUnknownBarbari,Positive,Other,Unknown,0.17408268,0.07906007,0.1856502,0.038055442,0.036201194,0.045787383,0.15918925,0.015111656,0.13115944,0.032676302,0.082506835,0.020519553
546,Japanese Occupation of Malaya,Unknown,Unknown,1942,Malaya,Military Occupation,Malaya,Occupation led to hardship but also galvanized movements towards independence.,Malay people,Japanese Empire,Negative,Military and Conflict,Unknown,0.16957626,0.19490871,0.13123405,0.035636388,0.06134883,0.084105454,0.09114392,0.03303689,0.013052376,0.08659202,0.09933109,3.3979173e-05
547,Constitutional Revolution,Unknown,Unknown,1906,Tehran,Political Reform,Iran,"Establishment of a parliament, marking the start of constitutional monarchy in Iran.",Iranian citizens,Revolutionaries,Positive,Political Events,Unknown,0.1336167,0.09952423,0.22595698,0.033167563,0.0106074875,0.083808646,0.18296428,0.013628355,0.09162808,0.0369892,0.07985487,0.008253679
548,Foundation of Modern Iraq,Unknown,Unknown,1932,Iraq,State Formation,Iraq,"Independence from British mandate, leading to the founding of the Kingdom of Iraq.",Iraqi people,Kingdom of Iraq,Positive,Social and Cultural Events,Asia,0.12307674,0.17110617,0.19891998,0.04704132,0.021042047,0.086665384,0.14399736,0.008701249,0.034115538,0.1004422,0.04854001,0.016352104
549,Forced Collectivization by Soviets,Unknown,Unknown,1930,Kazakhstan,Economic Policy,Kazakhstan,Collectivization led to widespread famine and suffering among the Kazakh population.,Kazakh nomads,Soviet Government,Negative,Economic and Infrastructure Development,Unknown,0.12511198,0.11104513,0.12200472,0.025777342,0.06194893,0.19557671,0.10135585,0.08599105,0.0035301514,0.036226638,0.084087595,0.04734387
550,Samarkand becomes part of the Uzbek SSR,Unknown,Unknown,1924,Samarkand,Administrative Reorganization,Samarkand,"Establishment of Uzbek Soviet Socialist Republic, influencing Uzbek national identity.",Uzbek people,Soviet Government,Mixed,Political Events,Unknown,0.1205477,0.15544382,0.22030628,0.019753767,0.01453743,0.09110108,0.10695498,0.013079041,0.014505366,0.12464798,0.11780978,0.0013128114
551,Establishment of Simtokha Dzong,Unknown,Unknown,1629,Thimphu,Cultural Development,Thimphu,"The first dzong, combining monastic and military functions, foundational for Bhutanese architecture.",Bhutanese people,Zhabdrung Ngawang Namgyal,Positive,Social and Cultural Events,Unknown,0.161712,0.06446322,0.13532498,0.07391963,0.022084124,0.0273509,0.15695141,0.020306075,0.047862105,0.06284953,0.22581305,0.0013629086
552,Sultanate Becomes a British Protectorate,Unknown,Unknown,1887,Maldives,Colonial Subjugation,Maldives,British protection in exchange for defense and nonUnknowninterference in internal affairs.,Maldivian people,British Empire,Mixed,Political Events,Unknown,0.16509451,0.19784875,0.17091684,0.020109585,0.049019523,0.036452226,0.08666561,0.010645376,0.09423264,0.10494123,0.05781596,0.0062577203
553,Formation of the United Malays National Organisation,Unknown,Unknown,1946,Malaysia,Political Movement,Malaysia,Political mobilization of Malays for rights and independence.,Malay people,Onn Jaafar,Positive,Political Events,Unknown,0.17124723,0.11215786,0.18541914,0.037267227,0.031350724,0.049725235,0.16414337,0.011200884,0.052258365,0.100304976,0.078822054,0.006102864
555,Hammurabi's Code of Laws,Unknown,Unknown, 1754 BC ,Babylon,Legal Code Introduction,Babylon,Introduction of one of the earliest written legal codes,Babylonian citizens,Hammurabi,Positive,Legal and Judicial Changes,Unknown,0.16005689,0.047251157,0.124681935,0.035508513,0.032680035,0.018642617,0.115557626,0.004261916,0.34596348,0.026476383,0.08095802,0.007961449
556,Golden Horde Rule,Unknown,Unknown,1200,Kazakhstan,Political Dominion,Kazakhstan,"Strengthened trade routes across Central Asia, impacting the Silk Road economy",Central Asian populations,Batu Khan,Mixed,Political Events,Unknown,0.15207855,0.093838416,0.10177301,0.05542394,0.021735916,0.18761763,0.095740296,0.020706248,0.026926197,0.13217989,0.11136484,0.0006149724
558,Introduction of Buddhism,Unknown,Unknown,746,Bhutan,Religious Spread,Bhutan,"Establishment of Buddhism as the state religion, shaping Bhutanese culture and governance",Bhutanese people,Padmasambhava (Guru Rinpoche),Positive,Other,Unknown,0.18362021,0.087276384,0.15379527,0.026718633,0.008697385,0.035900705,0.16355416,0.018767916,0.07644422,0.07683829,0.16542597,0.0029608433
559,Conversion to Islam,Unknown,Unknown,1153,Maldives,Religious Conversion,Maldives,"Transition to Islam, influencing Maldivian culture, trade, and politics",Maldivian people,Abu alUnknownBarakat Yusuf alUnknownBarbari,Positive,Other,Unknown,0.17870677,0.09775754,0.14947487,0.049965654,0.04540396,0.08513962,0.15181322,0.02478963,0.06197542,0.039176904,0.102115944,0.013680394
560,Malacca Sultanate Established,Unknown,Unknown,1402,Malacca,Sultanate Formation,Malacca,Foundation of a powerful maritime trading state in Southeast Asia,Malay people,Parameswara,Positive,Political Events,Unknown,0.1624867,0.09935723,0.0993565,0.08088025,0.027635528,0.123577334,0.103637606,0.0126973465,0.036360323,0.11687737,0.12363952,0.013494273
561,Islamic Conquest of Persia,Unknown,Unknown,651,Persia,Military Conquest,Persia,"Introduction of Islam, leading to significant cultural and religious changes",Persian people,Arab Conquerors,Mixed,Political Events,Unknown,0.15028751,0.10184994,0.13460882,0.05850323,0.050550684,0.06142139,0.1572215,0.016263518,0.040220767,0.046984777,0.16190961,0.020178273
562,Foundation of Baghdad,Unknown,Unknown,762,Iraq,City Foundation,Baghdad,Establishment of Baghdad as a major cultural and scholarly center,Mesopotamian people,Caliph AlUnknownMansur,Positive,Political Events,Asia,0.12065928,0.0643412,0.16590217,0.053446963,0.0547236,0.048010185,0.21182437,0.014010156,0.01563395,0.06390024,0.16527686,0.022271065
563,Arrival of the Russians,Unknown,Unknown,1731,Kazakhstan,Political Annexation,Kazakhstan,Beginning of Russian influence and eventual control over Kazakh lands,Kazakh Khanate,Russian Empire,Negative,Political Events,Unknown,0.11610817,0.1418531,0.14697142,0.09664404,0.023242913,0.12493121,0.12348426,0.020118715,0.010913429,0.053759333,0.12498228,0.01699117
564,Timurid Empire Peaks,Unknown,Unknown,1405,Samarkand,Empire Peak,Uzbekistan,Samarkand becomes a leading center of Islamic culture and arts,Central Asian populations,Timur,Positive,Political Events,Unknown,0.17640705,0.064194396,0.10358318,0.029331699,0.056538273,0.06143656,0.18716644,0.027813531,0.013487915,0.05657039,0.22333525,0.00013531338
565,Unification of Bhutan,Unknown,Unknown,1634,Bhutan,Country Unification,Bhutan,Establishment of Bhutan as a unified kingdom under a dual system of government,Bhutanese people,Ngawang Namgyal (Zhabdrung Rinpoche),Positive,Political Events,Unknown,0.1513384,0.102992766,0.19167198,0.04625955,0.004651398,0.049267355,0.13200751,0.012432428,0.07923075,0.11908582,0.110518664,0.0005434399
566,Sultanate ReUnknownestablished,Unknown,Unknown,1558,Maldives,Political Restoration,Maldives,"Restoration of the Sultanate, reaffirming Maldivian independence and sovereignty",Maldivian people,Muhammad Thakurufaanu AlUnknownA'uẓam,Positive,Political Events,Unknown,0.14623222,0.13994657,0.18820702,0.03572895,0.013617017,0.04665902,0.1294566,0.017577458,0.07926395,0.09089426,0.112414114,2.9323041e-06
567,British Colonization Begins,Unknown,Unknown,1824,Malaysia,Colonial Rule,Malaysia,"Start of British colonial rule, affecting political and social structures",Malaysian inhabitants,British East India Company,Negative,Political Events,Unknown,0.19023138,0.15088142,0.14647003,0.044126447,0.0424461,0.08343768,0.16047524,0.015605493,0.054015372,0.026162824,0.08226209,0.0038859183
568,AngloUnknownRussian Agreement,Unknown,Unknown,1907,Iran,Diplomatic Agreement,Iran,"Divided Iran into spheres of British and Russian influence, compromising its sovereignty.",Iranian people,"United Kingdom, Russia",Negative,International Relations and Diplomacy,Asia,0.100143224,0.18493623,0.18831441,0.027130751,0.029005552,0.07411556,0.09282291,0.018419681,0.06796733,0.12611018,0.08947502,0.0015591518
569,Creation of Iraq by the League of Nations,Unknown,Unknown,1920,Iraq,State Formation,Iraq,Formalized the creation of the modern state of Iraq under British mandate.,Iraqi people,"League of Nations, United Kingdom",Mixed,Social and Cultural Events,Asia,0.12224601,0.13839342,0.18174638,0.06760106,0.0324862,0.10051312,0.14037801,0.021294141,0.036688134,0.10965904,0.035334714,0.013659761
570,Virgin Lands Campaign,Unknown,Unknown,1954,Kazakhstan,Agricultural Development,Northern Kazakhstan,Aimed to boost Soviet agriculture; led to significant demographic changes.,Kazakh SSR inhabitants,Nikita Khrushchev,Mixed,Economic and Infrastructure Development,Unknown,0.15658699,0.091508105,0.10988864,0.10765012,0.01618464,0.16781582,0.11148649,0.06730456,0.027166478,0.037628923,0.084379494,0.022399673
571,Establishment of Uzbek SSR,Unknown,Unknown,1924,Uzbekistan,Political Reorganization,Uzbekistan,Formation of Uzbek Soviet Socialist Republic within the USSR.,Uzbek people,Soviet Government,Mixed,Political Events,Unknown,0.10723894,0.14281824,0.24957119,0.02731245,0.013374127,0.08588415,0.13984019,0.010534167,0.019466305,0.097876005,0.10087409,0.005210195
572,Treaty of Sinchula,Unknown,Unknown,1865,Bhutan,Diplomatic Agreement,Bhutan,"Ceded border lands to British India in exchange for an annual subsidy, defining borders.",Bhutanese people,"British India, Bhutanese Government",Mixed,International Relations and Diplomacy,Unknown,0.15497197,0.12741213,0.107586235,0.06993808,0.015540273,0.08716306,0.09134489,0.020456044,0.08259226,0.17747822,0.06545749,5.9301576e-05
573,Introduction of English as a Medium of Education,Unknown,Unknown,1940,Maldives,Educational Reform,Maldives,Marked the beginning of modern education in the Maldives.,Maldivian students,Maldivian Government,Positive,Technological and Scientific Advancements,Unknown,0.19539593,0.050112046,0.10423143,0.16860214,0.00024904884,0.120481424,0.15200728,0.0030949484,0.050521392,0.08250839,0.039526198,0.03326975
574,Japanese Occupation of Malaya,Unknown,Unknown,1941,Malaya,Military Occupation,Malaya,"Japanese control during WWII, leading to significant hardship and resistance movements.",Malayan people,Japanese Empire,Negative,Military and Conflict,Unknown,0.162979,0.18900616,0.09507361,0.05681636,0.08692295,0.05016604,0.07245746,0.045389105,0.014873404,0.12148303,0.10375753,0.0010753468
575,Nationalization of Oil Industry,Unknown,Unknown,1951,Iran,Economic Nationalism,Iran,Marked a pivotal moment in Iran's struggle for sovereignty over its oil resources.,Iranian people,Mohammad Mossadegh,Positive,Economic and Infrastructure Development,Asia,0.11580231,0.1182333,0.13049841,0.046813224,0.022267524,0.19085875,0.123642944,0.032207906,0.019793136,0.10693245,0.066190764,0.026759174
